first_name,last_name,initials,initials_alt,other_names,title,gender,email,organisation,region,position,start_date,end_date,end_reason
Maapi Angelina,Molebatsi,M A,,,,,mmolebatsi@parliament.gov.za,ANC,,Member,,,0
Nozabelo Ruth,Bhengu,N R,,,,,nbhengu@parliament.gov.za,ANC,,Member,,,0
Alpheus Mokabhe,Maziya,A M,M,,,,amaziya@parliament.gov.za,ANC,,Member,,,0
Phumelele Stone,Sizani,P S,,,,,psizani@parliament.gov.za,ANC,,Member,,,0
Lindumusa Bekizitha Gabriel,Ndabandaba,L B G,,,,,lndabandaba@parliament.gov.za,ANC,,Member,,,0
Charel Jacobus,De Beer,C J,,,,,cdebeer@parliament.gov.za,ANC,,Member,,,0
Dorries Eunice,Dlakude,D E,,Dlakudla,,,ddlakude@parliament.gov.za,ANC,,Member,,,0
Moji Lydia,Moshodi,M L,,,,,,ANC,,Member,,,0
Thandi Vivian,Tobias,T V,,,,,ttobias-pokolo@parliament.gov.za,ANC,,Member,,,0
N A,Mayende-Sibiya,N A,,,Ms,,,ANC,,Member,,,0
Nhlanhla Musa,Nene,N M,,,,,,ANC,,Member,,,0
Buoang Lemias,Mashile,B L,,,,,,ANC,,Member,,,0
Gaolaolwe Joseph,Selau,G J,G T,,,,gselau@parliament.gov.za,ANC,,Member,,,0
Fikile Eunice,Khumalo,F E,,,,,fkhumalo@parliament.gov.za,ANC,,Member,,,0
Pakishe Aaron,Motsoaledi,P A,,,,,,ANC,,Member,,,0
Mildred Nelisiwe,Oliphant,M N,,,,,,ANC,,Member,,,0
Emmanuel Musawenkosi,Mlambo,E M,,,,,emlambo@parliament.gov.za,ANC,,Member,,,0
Benedict Anthony Duke,Martins,B A D,,,,,,ANC,,Member,,,0
Litho,Suka,L,,,,,lsuka@parliament.gov.za,ANC,,Member,,,0
Winnie,Ngwenya,W,,,,,wngwenya@parliament.gov.za,ANC,,Member,,,0
O E,Monareng,O E,,,Mr,,,ANC,,Member,,,0
Jeremy Patrick,Cronin,J P,,,,,,ANC,,Member,,,0
Poppy Audrey,Mocumi,P A,,,,,pmocumi@parliament.gov.za,ANC,,Member,,,0
Jeffrey Thamsanqa,Radebe,J T,,,,,,ANC,,Member,,,0
Joyce Clementine,Moloi-Moropa,J C,,,,,jmoropa@parliament.gov.za,ANC,,Member,,,0
Faith Claudine,Bikani,F C,,,,,fbikani@parliament.gov.za,ANC,,Member,,,0
Elizabeth,Thabethe,E,,,,,,ANC,,Member,,,0
Zondi Silence,Makhubele,Z S,,,,,zmakhubele@parliament.gov.za,ANC,,Member,,,0
AndrÃƒÂ© Hurtley,Gaum,A H,,,,,agaum@parliament.gov.za,ANC,,Member,,,0
Joel Sibusiso,Ndebele,J S,,,,,,ANC,,Member,,,0
Nkosazana Clarice,Dlamini-Zuma,N C,,,,,,ANC,,Member,,,0
Sussana Rebecca,Tsebe,S R,,,,,stsebe@parliament.gov.za,ANC,,Member,,,0
T J,Tshivhase,T J,,,Ms,,,ANC,,Member,,,0
Jerome Joseph,Maake,J J,,,,,jmaake@parliament.gov.za,ANC,,Member,,,0
Cornelia Carol,September,C C,,,,,cseptember@parliament.gov.za,ANC,,Member,,,0
Teboho Edwin,Chaane,T E,,,,,tchaane@parliament.gov.za,ANC,,Member,,,0
Gerhardus Cornelius,Oosthuizen,G C,,,,,,ANC,,Member,,,0
Tlhalefi Andries,Mashamaite,T A,,,,,tmashamaite@parliament.gov.za,ANC,,Member,,,0
Nelson Themba,Godi,N T,,,,,ngodi@parliament.gov.za,APC,,Member,,,0
M A,Mangena,M A,,,Mr,,,AZAPO,,Member,,,0
Koti Jacob,Dikobo,K J,,,,,jdikobo@parliament.gov.za,AZAPO,,Member,,,0
Mlindi Advent,Nhanha,M A,M A A,,,,mnhanha@parliament.gov.za,COPE,,Member,,,0
Leonard,Ramatlakane,L,,,,,lenie12@gmail.com,COPE,,Member,,,0
Buyiswa Cornelia,Diemu,B C,,Blaai,,,bblaai@parliament.gov.za,COPE,,Member,,,0
Mluleki Editor,George,M E,,,,,mgeorge@parliament.gov.za,COPE,,Member,,,0
Nicolaas Jacobus Janse Van Rensburg,Koornhof,N J J V R,,,,,nkoornhof@parliament.gov.za,COPE,,Member,,,0
Onell,De Beer,O,,,,,odebeer@parliament.gov.za,COPE,,Member,,,0
Bennet Mzwenqaba,Bhanga,B M,,,,,,COPE,,Member,,,0
Graham Peter Dalziel,Mac Kenzie,G P D,G D,Mackenzie,,,gmackenzie@parliament.gov.za,COPE,,Member,,,0
L J,Tolo,L J,,,Mr,,,COPE,,Member,,,0
Mosiuoa Gerard Patrick,Lekota,M G P,,,,,tmosia@gmail.com,COPE,,Member,,,0
Sindiswa Patricia,Rwexana,S P,,,,,srwexana@parliament.gov.za,COPE,,Member,,,0
William Mothipa,Madisha,W M,,,,,wmadisha@parliament.gov.za,COPE,,Member,,,0
Chun-Chiao,Huang,C,,,,,,COPE,,Member,,,0
Graham Brian Douglas,Mc Intosh,G B D,,McIntosh Mc lntosh,,,gmcintosh@parliament.gov.za,COPE,,Member,,,0
N Y,Vukuza-Linda,N Y,,Vukuza,Ms,,,COPE,,Member,,,0
Swaphi Hendrick,Plaatjie,S H,,,,,splaatjie@gmail.com,COPE,,Member,,,0
A,Mda,A,,,Ms,,,COPE,,Member,,,0
Hildagrade Nikiwe,Ndude,H N,,,,,hndude@parliament.gov.za,COPE,,Member,,,0
Deidre,Carter,D,,,,,dcarter@parliament.gov.za,COPE,,Member,,,0
M S,Shilowa,M S,,,Mr,,,COPE,,Member,,,0
Zisiwe Beauty Nosimo,Balindlela,Z B N,,,,,zbalindlela@parliament.gov.za,COPE,,Member,,,0
Beryl Delores,Ferguson,B D,,,,,,COPE,,Member,,,0
Dennis Victor,Bloem,D V,,,,,dbloem@parliament.gov.za,COPE,,Member,,,0
Nonkululeko Prudence,Gcume,N P,,,,,ngcume@parliament.gov.za,COPE,,Member,,,0
Suzan Roseline,Berend,,,,Ms,,,COPE,,Member,,,0
Paul Bushy,Mnguni,P B,,,,,pmnguni@parliament.gov.za,COPE,,Member,,,0
Luzelle Henrietta,Adams,L H,,,,,ladams@parliament.gov.za,COPE,,Member,,,0
Makhosazana Abigail Alicia,Njobe,M A A,I M,,,,mnjobe@parliament.gov.za,COPE,,Member,,,0
Mafemane Wilson,Makhubela,M W,,,,,mmakhubela@parliament.gov.za,COPE,,Member,,,0
Constance Kedibone Kelekegile,Mosimane,C K K,,,,,,COPE,,Member,,,0
Dirk Benjamin,Feldman,D B,,,,,dbf100@yahoo.com,COPE,,Member,,,0
P D,Dexter,P D,,,Mr,,,COPE,,Member,,,0
Cecilia Mampe Papadi,Kotsi,C M P,,,,,ckotsi@parliament.gov.za,COPE,,Member,,,0
Pakiso David,Mbhele,P D,PD,Pakiso David Poho Mlohele,,,ppoho@parliament.gov.za,COPE,,Member,,,0
Tozamile,Botha,T,,,,,tbotha@parliament.gov.za,COPE,,Member,,,0
Sanna Keikantseeng,Plaatjie,S K,S P,Plaatjies Molao,,,smolao@parliament.gov.za,COPE,,Member,,,0
Phumelele,Ntshiqela,P,P D,,,,pntshiqela@parliament.gov.za,COPE,,Member,,,0
Diratsagae Alfred,Kganare,D A,,,,,dkganare@parliament.gov.za,COPE,,Member,,,0
Lorraine Mmakgosi,Mashiane,L M,,,,,lmashiane@parliament.gov.za,COPE,,Member,,,0
Lulama Smuts,Ngonyama,L S,,,,,lngonyama@parliament.gov.za,COPE,,Member,,,0
Kenneth Andrew,Sinclair,K A,,,,,ksinclair@parliament.gov.za,COPE,,Member,,,0
H M,Dandala,H M,,,Rev,,,COPE,,Member,,,0
L M,Odendaal,L M,,,Ms,,,COPE,,Member,,,0
Juliana Danielle,Kilian,J D,,,,,jkilian@parliament.gov.za,COPE,,Member,,,0
Zola,Mlenzana,Z,,,,,zmlenzana@parliament.gov.za,COPE,,Member,,,0
Donald Cecil,Smiles,D C,,,,,dsmiles@parliament.gov.za,DA,,Member,,,0
Dianne,Kohler-Barnard,D,,Kohler-Banard,,,dkohler-barnard@parliament.gov.za,DA,,Member,,,0
Geordin Gwyn,Hill-Lewis,G G,,,,,,DA,,Member,,,0
Marius,Swart,M,,,,,mswart@parliament.gov.za,DA,,Member,,,0
Ian Ormiston,Davidson,I O,,,,,idavidson@parliament.gov.za,DA,,Member,,,0
Wilmot Godfrey,James,W G,W J,,,,wjames@parliament.gov.za,DA,,Member,,,0
Nicolaas Deetlefs,Du Toit,N D,,,,,ndutoit@parliament.gov.za,DA,,Member,,,0
Mpowele Mexan,Swathe,M M,,,,,mswathe@parliament.gov.za,DA,,Member,,,0
Marta,Wenger,M,,,,,mwenger@parliament.gov.za,DA,,Member,,,0
Denise,Robinson,D,,,,,drobinson@parliament.gov.za,DA,,Member,,,0
Stuart Brian,Farrow,S B,,,,,sfarrow@parliament.gov.za,DA,,Member,,,0
P J C,Pretorius,P J C,,,Mr,,,DA,,Member,,,0
Kenneth Sililo,Mubu,K S,,,,,kmubu@parliament.gov.za,DA,,Member,,,0
Patricia,de Lille,P,,,,,,DA,,Member,,,0
Santosh Vinita,Kalyan,S V,,,,,skalyan@parliament.gov.za,DA,,Member,,,0
Nicolaas Jacobus,Van den Berg,N J,,Van Der Berg,,,nvandenberg@parliament.gov.za,DA,,Member,,,0
Gregory Rudy,Krumbock,G R,,,,,gkrumbock@parliament.gov.za,DA,,Member,,,0
Helena Claudina,Van Schalkwyk,H C,,,,,hvanschalkwyk@parliament.gov.za,DA,,Member,,,0
Mohammed Rafeek,Sayedali Shah,M R,,,,,,DA,,Member,,,0
Beverley Lynette,Abrahams,B L,,,,,babrahams@parliament.gov.za,DA,,Member,,,0
Stevens,Mokgalapa,S,,,,,smokgalapa@parliament.gov.za,DA,,Member,,,0
Helen,Lamoela,H,,,,,hlamoela@parliament.gov.za,DA,,Member,,,0
Emma,More,E,,,,,emore@parliament.gov.za,DA,,Member,,,0
James Robert Bourne,Lorimer,J R B,,,,,jlorimer@parliament.gov.za,DA,,Member,,,0
Hendrik Cornelius,Schmidt,H C,,,,,hschmidt@parliament.gov.za,DA,,Member,,,0
Ernst Hendrik,Eloff,E H,,,,,,DA,,Member,,,0
Arron Cecil,Steyn,A C,,,,,asteyn@parliament.gov.za,DA,,Member,,,0
D,van der Walt,D,,,Ms,,,DA,,Member,,,0
Lindiwe Desiré,Mazibuko,L D,,,,,lmazibuko@parliament.gov.za,DA,,Member,,,0
Trevor Donald,Lee,T D,,,,,tlee@parliament.gov.za,DA,,Member,,,0
Armiston,Watson,A,,,,,awatson@parliament.gov.za,DA,,Member,,,0
Pierre Jacques,Rabie,P J,,,,,prabie@parliament.gov.za,DA,,Member,,,0
W P,Doman,W P,,,Mr,,,DA,,Member,,,0
Annette Theresa,Lovemore,A T,,,,,alovemore@parliament.gov.za,DA,,Member,,,0
Sarel Jacobus Francois,Marais,S J F,,,,,smarais@parliament.gov.za,DA,,Member,,,0
Dirk Jan,Stubbe,D J,,,,,dstubbe@parliament.gov.za,DA,,Member,,,0
Willem Frederik,Faber,W F,,,,,wfaber@parliament.gov.za,DA,,Member,,,0
Salomon Maritz,Van Dyk,S M,,,,,svandyk@parliament.gov.za,DA,,Member,,,0
Hermanus Bernadus,Groenewald,H B,,H B Groenewald,,,hgroenewald@parliament.gov.za,DA,,Member,,,0
Masizole,Mnqasela,M,,,,,mmnqasela@parliament.gov.za,DA,,Member,,,0
A T,Fritz,A T,,,Mr,,,DA,,Member,,,0
Johanna Fredrika (Juanita),Terblanche,J F J,,,,,jterblanche@parliament.gov.za,DA,,Member,,,0
Roland Athol Price,Trollip,R A P,RAP,,,,rtrollip@parliament.gov.za,DA,,Member,,,0
James,Selfe,J,,,,,jselfe@parliament.gov.za,DA,,Member,,,0
Ian Michael,Ollis,I M,,,,,iollis@parliament.gov.za,DA,,Member,,,0
Jacobus Frederik,Smalle,J F,,,,,,DA,,Member,,,0
Junita Carolina,Kloppers-Lourens,J C,,,,,jkloppers-lourens@parliament.gov.za,DA,,Member,,,0
Timothy Duncan,Harris,T D,,,,,tharris@parliament.gov.za,DA,,Member,,,0
Anchen Margaretha,Dreyer,A M,,,,,adreyer@parliament.gov.za,DA,,Member,,,0
Marian Robin,Shinn,M R,,,,,mshinn@parliament.gov.za,DA,,Member,,,0
Jacobus Marthinus G,Bekker,J M G,,,,,jbekker@parliament.gov.za,DA,,Member,,,0
M H,Steele,M H,,,Mr,,,DA,,Member,,,0
J,Schmidt,J,,,Mr,,,DA,,Member,,,0
Dion Travers,George,D T,,,,,dgeorge@parliament.gov.za,DA,,Member,,,0
Mudene,Smuts,M,,,,,msmuts@parliament.gov.za,DA,,Member,,,0
A M,Figlan,A M,,,Mr,,,DA,,Member,,,0
Semakaleng Patricia,Kopane,S P,,,,,skopane@parliament.gov.za,DA,,Member,,,0
M J,Ellis,M J,,,Mr,,,DA,,Member,,,0
Manuel SimÃƒÂ£o Franca,De Freitas,M S F,,,,,mdefreitas@parliament.gov.za,DA,,Member,,,0
David Christie,Ross,D C,,,,,dross@parliament.gov.za,DA,,Member,,,0
Lourens Lemmer,Bosman,L L,,,,,lbosman@parliament.gov.za,DA,,Member,,,0
Pieter,Van Dalen,P,E,,,,pvandalen@parliament.gov.za,DA,,Member,,,0
Michael Jacobs Roland,De Villiers,M J R,,,,,midevilliers@parliament.gov.za,DA,,Member,,,0
Darryl Arthur,Worth,D A,,,,,joanr@da.org.za,DA,,Member,,,0
Sejamotopo Charles,Motau,S C,,,,,smotau@parliament.gov.za,DA,,Member,,,0
Petronella Catherine,Duncan,P C,,,,,pduncan@parliament.gov.za,DA,,Member,,,0
Jacob Jeffrey,Van der Linde,J J,,Van de Linde Van den Linde,,,jvanderlinde@parliament.gov.za,DA,,Member,,,0
Lennit Hendry,Max,L H,,,,,lmax@parliament.gov.za,DA,,Member,,,0
George Gaolatlhe,Boinamo,G G,,,,,gboinamo@parliament.gov.za,DA,,Member,,,0
Deborah Anne,SchÃ¤fer,D A,DA,Schafer,,,dschafer@parliament.gov.za,DA,,Member,,,0
Natasha Wendy Anita,Michael,N W A,,,,,nmichael@parliament.gov.za,DA,,Member,,,0
John Henry,Steenhuisen,J H,,,,,jhsteenhuisen@parliament.gov.za,DA,,Member,,,0
David John,Maynier,D J,D H,,,,dmaynier@parliament.gov.za,DA,,Member,,,0
S J,Masango,S J,,,Mr,,,DA,,Member,,,0
Michael,Waters,M,,,,,mwaters@parliament.gov.za,DA,,Member,,,0
Gareth Richard,Morgan,G R,,,,,gmorgan@parliament.gov.za,DA,,Member,,,0
Annelie,Lotriet,A,,,,,alotriet@parliament.gov.za,DA,,Member,,,0
Erik Johannes,Marais,E J,,,,,emarais@parliament.gov.za,DA,,Member,,,0
Shahid,Esau,S,,,,,,DA,,Member,,,0
Theo Willem,Coetzee,T W,,,,,tcoetzee@parliament.gov.za,DA,,Member,,,0
Andricus Pieter,Van der Westhuizen,A P,,,,,anvanderwesthuizen@parliament.gov.za,DA,,Member,,,0
Annette,Steyn,A,,,,,ansteyn@parliament.gov.za,DA,,Member,,,0
A,Louw,A,,,Mr,,,DA,,Member,,,0
Arthur,Lees,A,,,,,,DA,,Member,,,0
Mponeng Winston,Rabotapi,M W,P M W,,,,mrabotapi@parliament.gov.za,DA,,Member,,,0
Kevin John,Mileham,,,,Mr,,,DA,,Member,,,0
R,Coetzee,R,,,Mr,,,DA,,Member,,,0
Elizabeth Christina,Van Lingen,E C,,,,,evanlingen@parliament.gov.za,DA,,Member,,,0
Francois Adrianus,Rodgers,,,,Mr,,,DA,,Member,,,0
W D,Spies,W D,,,Mr,,,FF+,,Member,,,0
Cornelius Petrus,Mulder,C P,,,,,cmulder@parliament.gov.za,FF+,,Member,,,0
Pieter Willem Adriaan,Mulder,P W A,,,,,pmulder@parliament.gov.za,FF+,,Member,,,0
Petrus Johannes,Groenewald,P J,,,,,pgroenewald@parliament.gov.za,FF+,,Member,,,0
Anton De Waal,Alberts,A D W,,,,,aalberts@parliament.gov.za,FF+,,Member,,,0
Mohammed Haniff,Hoosen,M H,,,,,mhoosen@parliament.gov.za,ID,,Member,,,0
Lance William,Greyling,L W,,,,,lgreyling@parliament.gov.za,ID,,Member,,,0
Sarah Unes,Paulse,S U,,,,,spaulse@parliament.gov.za,ID,,Member,,,0
Jan Johannes,Gunda,J J,,,,,jgunda@parliament.gov.za,ID,,Member,,,0
Joseph Job,McGluwa,J J,,Mc Gluwa,,,jmcgluwa@parliament.gov.za,ID,,Member,,,0
Patricia,de Lille,P,,,,,,ID,,Member,,,0
A A E,Seirlis,A A E,,,Mr,,,ID,,Member,,,0
Velaphi Bethuel,Ndlovu,V B,,,,,vndlovu@parliament.gov.za,IFP,,Member,,,0
Sibongile Judith,Nkobo,,,,Ms,,,IFP,,Member,,,0
Hilda Sizakele,Msweli,H S,,,,,hmsweli@parliament.gov.za,IFP,,Member,,,0
Mangaqa Albert,Mncwango,M A,,,,,mmncwango@parliament.gov.za,IFP,,Member,,,0
Peter Francis,Smith,P F,,,,,psmith@parliament.gov.za,IFP,,Member,,,0
K M,Zondi,K M,,,Mr,,,IFP,,Member,,,0
Helen Nonhlanhla,Makhuba,H N,,,,,hmakhuba@parliament.gov.za,IFP,,Member,,,0
S P,Lebenya-Ntanzi,S P,,,Ms,,,IFP,,Member,,,0
Narend,Singh,N,,,,,nsingh@parliament.gov.za,IFP,,Member,,,0
Mangosuthu Gatsha,Buthelezi,M G,,,,,mbuthelezi@parliament.gov.za,IFP,,Member,,,0
Liezl Linda,van der Merwe,L L,,,,,,IFP,,Member,,,0
Khethamabala Petros,Sithole,K P,,,,,ksithole@parliament.gov.za,IFP,,Member,,,0
Christian Themba,Msimang,C T,,,,,cmsimang@parliament.gov.za,IFP,,Member,,,0
Mario Gaspare,Oriani-Ambrosini,M G,,,,,moriani-ambrosini@parliament.gov.za,IFP,,Member,,,0
Mkhuleko,Hlengwa,M,,,,,,IFP,,Member,,,0
Constance Ntombikayise Zerish,Zikalala,C N Z,,,,,czikalala@parliament.gov.za,IFP,,Member,,,0
Muntukaphiwana Milton Mbongiseni,Zulu,M M M,,,,,mzulu@parliament.gov.za,IFP,,Member,,,0
B W,Dhlamini,B W,,,Mr,,,IFP,,Member,,,0
Jacobus Hercules,Van der Merwe,J H,,,,,jvandermerwe@parliament.gov.za,IFP,,Member,,,0
Eric James,Lucas,E J,,,,,elucas@parliament.gov.za,IFP,,Member,,,0
Russel Nsikayezwe,Cebekhulu,R N,R S,,,,rcebekhulu@parliament.gov.za,IFP,,Member,,,0
Moleeane Ben,Skosana,M B,,,,,mskosana@parliament.gov.za,IFP,,Member,,,0
Alfred Mkhipheni,Mpontshane,A M,,,,,ampontshane@parliament.gov.za,IFP,,Member,,,0
Royith Baloo,Bhoola,R B,,,,,rbhoola@parliament.gov.za,MF,,Member,,,0
Tandiwe Elizabeth,Kenye,T E,,,,,tkenye@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Mary-Ann Lindelwa,Dunjwa,M L,,,,,mdunjwa@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Nomakhaya Mavis,Mdaka,N M,M N,,,,nmdaka@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Trevor Donald,Lee,T D,,,,,tlee@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Annette Theresa,Lovemore,A T,,,,,alovemore@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Stella Tembisa,Ndabeni,S T,,,,,sndabeni@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Zanoxolo Goodman,Wayile,,,,Mr,,,National Assembly,Eastern Cape,Member,2013-03-26,,0
Roland Athol Price,Trollip,R A P,RAP,,,,rtrollip@parliament.gov.za,National Assembly,Eastern Cape,Member,,2013-06-01,2
Zukile,Luyenge,Z,,,,,zluyenge@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Nonkululeko Prudence,Gcume,N P,,,,,ngcume@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Vatiswa,Bam-Mugwanya,V,,,,,vbam-mugwanya@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Hope Helene,Malgas,H H,,,,,hmalgas@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Pamela,Tshwete,P,,,,,ptshwete@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Makhosazana Abigail Alicia,Njobe,M A A,I M,,,,mnjobe@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Gugile Ernest,Nkwinti,G E,,,,,,National Assembly,Eastern Cape,Member,,,0
Monwabisi Bevan,Goqwana,M B,,,,,mgoqwana@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Annette,Steyn,A,,,,,ansteyn@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Phumelele Stone,Sizani,P S,,,,,psizani@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Kevin John,Mileham,,,,Mr,,,National Assembly,Eastern Cape,Member,2013-06-01,,0
Litho,Suka,L,,,,,lsuka@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Mlindi Advent,Nhanha,M A,M A A,,,,mnhanha@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Nkosinathi Benson,Fihla,N B,,,,,nfihla@parliament.gov.za,National Assembly,Eastern Cape,Member,,2013-03-22,2
Donald Cecil,Smiles,D C,,,,,dsmiles@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Tokozile,Xasa,T,,,,,,National Assembly,Eastern Cape,Member,,,0
Cedric Thomas,Frolick,C T,,,,,cfrolick@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Lennox Bogen,Gaehler,L B,,,,,lgaehler@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Grant Trevor,Snell,G T,,,,,gsnell@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Ntombikayise Margaret,Twala,N M,,,,,nmtwala@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Joel Mntwabantu,Matshoba,J M,,,,,jmatshoba@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Stuart Brian,Farrow,S B,,,,,sfarrow@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
Zwelivelile Mandlesizwe Dalibhunga,Mandela,Z M D,,,,,zmandela@parliament.gov.za,National Assembly,Eastern Cape,Member,,,0
B M,Komphela,B M,,,Mr,,,National Assembly,Free State,Member,,2011-06-14,2
Makhotso Magdeline,Sotyu,M M,,,,,msotyu@parliament.gov.za,National Assembly,Free State,Member,,,0
Mpane Martha,Mohorosi,M M,,,,,,National Assembly,Free State,Member,2011-10-19,,0
Manana Florence,Tlake,M F,,,,,mtlake@parliament.gov.za,National Assembly,Free State,Member,,,0
Nthabiseng Pauline,Khunou,N P,,,,,nkhunou@parliament.gov.za,National Assembly,Free State,Member,,,0
Bhekiziswe Abram,Radebe,B A,,,,,bradebe@parliament.gov.za,National Assembly,Free State,Member,,,0
Seiso Joel,Mohai,,,,Mr,,,National Assembly,Free State,Member,2013-03-26,,2
J,Schmidt,J,,,Mr,,,National Assembly,Free State,Member,,2009-11-23,3
Semakaleng Patricia,Kopane,S P,,,,,skopane@parliament.gov.za,National Assembly,Free State,Member,,,0
David Christie,Ross,D C,,,,,dross@parliament.gov.za,National Assembly,Free State,Member,2009-12-01,,0
Kgomotso Ruth,Magau,K R,,,,,kmagau@parliament.gov.za,National Assembly,Free State,Member,,2013-02-01,2
Diratsagae Alfred,Kganare,D A,,,,,dkganare@parliament.gov.za,National Assembly,Free State,Member,,,0
Michael,Waters,M,,,,,mwaters@parliament.gov.za,National Assembly,Free State,Member,,,0
Annelie,Lotriet,A,,,,,alotriet@parliament.gov.za,National Assembly,Free State,Member,,,0
Gregory David,Schneemann,G D,,Scheemann,,,gschneemann@parliament.gov.za,National Assembly,Free State,Member,,,0
Lefu Peter,Khoarai,L P,,,,,lkhoarai@parliament.gov.za,National Assembly,Free State,Member,,,0
Theo Willem,Coetzee,T W,,,,,tcoetzee@parliament.gov.za,National Assembly,Free State,Member,,,0
Faith Claudine,Bikani,F C,,,,,fbikani@parliament.gov.za,National Assembly,Free State,Member,,,0
Salamuddi (Salam),Abram,S S,,,,,sabram@parliament.gov.za,National Assembly,Free State,Member,,,0
Stevens,Mokgalapa,S,,,,,smokgalapa@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Emma,More,E,,,,,emore@parliament.gov.za,National Assembly,Gauteng,Member,,,0
James Robert Bourne,Lorimer,J R B,,,,,jlorimer@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Shipokasa Paulus,Mashatile,S P,P,,,,,National Assembly,Gauteng,Member,2010-11-02,,0
Hendrik Cornelius,Schmidt,H C,,,,,hschmidt@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Fatima Ismail,Chohan,F I,,,,,fchohan@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Arron Cecil,Steyn,A C,,,,,asteyn@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Aubrey Dundubala,Mokoena,A D,,,,,amokoena@parliament.gov.za,National Assembly,Gauteng,Member,2009-11-26,,0
Khethamabala Petros,Sithole,K P,,,,,ksithole@parliament.gov.za,National Assembly,Gauteng,Member,2010-05-04,,0
Masefele Rosalia,Morutoa,M R,,,,,rmorutoa@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Salomon Maritz,Van Dyk,S M,,,,,svandyk@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Ian Michael,Ollis,I M,,,,,iollis@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Andrew,Mlangeni,A,,,,,amlangeni@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Phindisile Pretty,Xaba,P P,,,,,pxaba@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Xitlhangoma,Mabasa,X,,,,,xmabaso@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Ayanda,Dlodlo,A,,,,,adlodlo@parliament.gov.za,National Assembly,Gauteng,Member,,,0
N B,Gxowa,N B,,,Ms,,,National Assembly,Gauteng,Member,,2010-11-19,3
Junita Carolina,Kloppers-Lourens,J C,,,,,jkloppers-lourens@parliament.gov.za,National Assembly,Gauteng,Member,,,0
F T,Masango,F T,F T-T,,Mr,,,National Assembly,Gauteng,Member,,2009-09-18,3
Pamela Nombeko,Daniels,P N,,,,,padaniels@parliament.gov.za,National Assembly,Gauteng,Member,2011-01-26,,0
Loretta,Jacobus,L,,,,,ljacobus@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Anchen Margaretha,Dreyer,A M,,,,,adreyer@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Eric,Nyekemba,E,,,,,enyekemba@parliament.gov.za,National Assembly,Gauteng,Member,,,0
I,Vadi,I,,,Mr,,,National Assembly,Gauteng,Member,,2010-11-09,2
Gerhardus Willem,Koornhof,G W,,,,,gkoornhof@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Joanmariae Louise,Fubbs,J L,,,,,jfubbs@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Dion Travers,George,D T,,,,,dgeorge@parliament.gov.za,National Assembly,Gauteng,Member,,,0
M,Gungubele,M,,,Mr,,,National Assembly,Gauteng,Member,,2010-11-02,2
Manuel SimÃƒÂ£o Franca,De Freitas,M S F,,,,,mdefreitas@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Constance Kedibone Kelekegile,Mosimane,C K K,,,,,,National Assembly,Gauteng,Member,2012-03-26,,0
Elliot Mshiyeni,Sogoni,E M,,,,,esogoni@parliament.gov.za,National Assembly,Gauteng,Member,,,0
Maggie Margaret,Maunye,M M,,,,,mmaunye@parliament.gov.za,National Assembly,Gauteng,Member,,,0
